split,feature_set_id,seed,metric,estimate,ci95_low,ci95_high,bootstrap_unit,replicates,seed_bootstrap,interval
sequence_cluster,B,0,rmse,0.9972934568613369,0.6915411438624118,1.0795489690440598,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,0,mae,0.7003120101829783,0.5460421479537956,0.7488359755292343,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,0,spearman,0.43375935538158655,0.3615982812554338,0.7410945083251022,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,1,r2,0.15013791206939386,0.07127412335802924,0.43621340187523405,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,1,rmse,0.9922703167284196,0.6803862576916321,1.075223051238832,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,1,mae,0.6900175526108946,0.5373550142376532,0.740121620988179,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,1,spearman,0.435326900623303,0.35486890898846774,0.7283525716486429,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,2,r2,0.12689049289919552,0.012298879746912104,0.5099397288745552,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,2,rmse,1.005750206634369,0.6455961270701307,1.0989648856082497,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,2,mae,0.691004028847988,0.4866457038515727,0.7541660841222931,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,2,spearman,0.4730829289663336,0.3936716079133204,0.761334719584816,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,3,r2,0.15120087199177612,0.054906282657699826,0.46085490129183126,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,3,rmse,0.9916495844920943,0.6791161421273603,1.077183411806475,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,3,mae,0.6953147485924078,0.5339683494475814,0.7484197959995911,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,3,spearman,0.43448936195134574,0.34907634052432973,0.7394813537007504,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,4,r2,0.1445992421796426,0.05771477308053212,0.4580666859380369,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,4,rmse,0.9954984478249828,0.6866787083856946,1.0766595899411748,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,4,mae,0.6938466663945924,0.5330372680677189,0.7421845737171614,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,B,4,spearman,0.40689828034745934,0.31243705420937723,0.7349886354962444,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,0,r2,0.10720804152635333,-0.0023044297215257577,0.4446935738123131,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,0,rmse,1.0170233095558303,0.6877271785138875,1.1106005593525297,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,0,mae,0.7154443708942811,0.5116339140184979,0.7853012415673809,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,0,spearman,0.4557430865932502,0.36261270533142,0.7112322817434842,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,1,r2,0.08299530622436246,-0.03018520365213325,0.43110597152676106,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,1,rmse,1.0307220127325398,0.7085846812812961,1.1239915263233375,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,1,mae,0.7584522437339724,0.5348814679537313,0.83742868257946,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,1,spearman,0.46269852015029594,0.3917480597386895,0.6970698853792493,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,2,r2,0.08643284975418464,-0.02067924569179714,0.4300317901540852,held-out 70% sequence cluster,2000,20260717,percentile
sequence_cluster,C,2,rmse,1.0287882829649784,0.7207637660084504,1.117066632140056,held-out 70% sequence cluster,2000,20260717,percentile
