representation_id,seed,feature,subblock,mean_absolute_shap,proportion
B,0,anchor_c_terminal_count,B3,0.11274094879627228,0.09385804831981659
B,1,anchor_count_total,B1,0.08400196582078934,0.05768793448805809
B,1,anchor_count_unique,B1,0.043476589024066925,0.02985733188688755
B,1,anchor_density,B1,0.05841122195124626,0.04011361673474312
B,1,anchor_pos_mean,B1,0.1066317930817604,0.0732288584113121
B,1,anchor_pos_std,B1,0.19103477895259857,0.1311921924352646
B,1,anchor_pos_range,B1,0.11027664691209793,0.07573194056749344
B,1,anchor_res_A,B2,0.1223665103316307,0.08403459936380386
B,1,anchor_res_C,B2,0.0,0.0
B,1,anchor_res_D,B2,0.03549562767148018,0.02437644638121128
B,1,anchor_res_E,B2,0.0,0.0
B,1,anchor_res_F,B2,0.0673532634973526,0.04625451937317848
B,1,anchor_res_G,B2,0.04073464497923851,0.027974316850304604
B,1,anchor_res_H,B2,0.0,0.0
B,1,anchor_res_I,B2,0.005837966687977314,0.0040091946721076965
B,1,anchor_res_K,B2,0.0004435791925061494,0.0003046258061658591
B,1,anchor_res_L,B2,0.09952618926763535,0.06834911555051804
B,1,anchor_res_M,B2,0.0,0.0
B,1,anchor_res_N,B2,0.0,0.0
B,1,anchor_res_P,B2,0.0914808139204979,0.06282399594783783
B,1,anchor_res_Q,B2,0.0,0.0
B,1,anchor_res_R,B2,0.0,0.0
B,1,anchor_res_S,B2,0.008766263723373413,0.006020188331604004
B,1,anchor_res_T,B2,0.008562601171433926,0.005880324169993401
B,1,anchor_res_V,B2,0.017109790816903114,0.011750063858926296
B,1,anchor_res_W,B2,0.0,0.0
B,1,anchor_res_Y,B2,0.0033139719162136316,0.0022758538834750652
B,1,anchor_hydrophobic_frac,B3,0.07990173995494843,0.05487212538719177
B,1,anchor_charged_frac,B3,0.013437261804938316,0.009227973408997059
B,1,anchor_polar_frac,B3,0.016626587137579918,0.011418226175010204
B,1,anchor_aromatic_frac,B3,0.04117058217525482,0.028273694217205048
B,1,anchor_small_frac,B3,0.05957186967134476,0.040910687297582626
B,1,anchor_proline_frac,B3,0.028633875772356987,0.01966417208313942
B,1,anchor_terminal_frac,B3,0.012971445918083191,0.008908076211810112
B,1,anchor_n_terminal_count,B3,0.008360819891095161,0.005741751752793789
B,1,anchor_c_terminal_count,B3,0.10064608603715897,0.0691182017326355
B,2,anchor_count_total,B1,0.06697515398263931,0.05032311752438545
B,2,anchor_count_unique,B1,0.027861617505550385,0.02093438245356083
B,2,anchor_density,B1,0.05168145149946213,0.038831889629364014
B,2,anchor_pos_mean,B1,0.09361698478460312,0.07034099102020264
B,2,anchor_pos_std,B1,0.17155463993549347,0.12890100479125977
B,2,anchor_pos_range,B1,0.12494596838951111,0.09388064593076706
B,2,anchor_res_A,B2,0.10958925634622574,0.08234207332134247
B,2,anchor_res_C,B2,0.0,0.0
B,2,anchor_res_D,B2,0.035883594304323196,0.026961853727698326
B,2,anchor_res_E,B2,0.0,0.0
B,2,anchor_res_F,B2,0.049352798610925674,0.037082210183143616
B,2,anchor_res_G,B2,0.03137010708451271,0.023570554330945015
B,2,anchor_res_H,B2,0.0,0.0
B,2,anchor_res_I,B2,0.006029611919075251,0.0045304689556360245
B,2,anchor_res_K,B2,0.0002768138947430998,0.00020798963669221848
B,2,anchor_res_L,B2,0.09969737380743027,0.07490961253643036
B,2,anchor_res_M,B2,0.0,0.0
B,2,anchor_res_N,B2,0.0,0.0
B,2,anchor_res_P,B2,0.07729025930166245,0.05807357653975487
B,2,anchor_res_Q,B2,5.640912422677502e-05,4.2384119296912104e-05
B,2,anchor_res_R,B2,0.0004957939963787794,0.00037252469337545335
B,2,anchor_res_S,B2,0.009204952977597713,0.006916325073689222
B,2,anchor_res_T,B2,0.009072955697774887,0.0068171462044119835
B,2,anchor_res_V,B2,0.015215971507132053,0.011432823725044727
B,2,anchor_res_W,B2,7.03599289408885e-05,5.286633677314967e-05
B,2,anchor_res_Y,B2,0.004618034232407808,0.0034698520321398973
B,2,anchor_hydrophobic_frac,B3,0.06320275366306305,0.04748864844441414
B,2,anchor_charged_frac,B3,0.016015952453017235,0.012033904902637005
